Data Set 1:Time(s),Data Set 1:Position(m),Data Set 1:Velocity(m/s),Data Set 1:Acceleration(m/s²)
0.0,0.6617000102996826,-1.521222127808465,0.5311840791025269
0.05,0.5845000147819519,-1.4946110463804672,0.5859892824549745
0.1,0.5113000273704528,-1.468033403158188,0.861591246944889
0.1499999999999999,0.4386000037193298,-1.4422223634190028,1.8739319914652977
0.2,0.3655000030994415,-1.3478333751360576,4.215272141643511
0.25,0.294400006532669,-1.0552222612831328,6.966963273323614
0.2999999999999999,0.2481999993324279,-0.5481111506621043,7.621944852081346
0.3499999999999999,0.2454999983310699,-0.149888868133227,5.587037179021187
0.4,0.2469000071287155,-0.0020000172985924,3.742839290220059
0.45,0.2478999942541122,0.0917777584658728,4.335462771080158
0.5,0.2469000071287155,0.352833287583457,6.43000001616684
0.55,0.2730999886989593,0.8040555069843927,7.251945059792497
0.5999999999999999,0.3305999934673309,1.2003889679908757,5.661944520694242
0.65,0.4027000069618225,1.406444468432003,3.128424512199411
0.6999999999999998,0.476500004529953,1.479499836762746,1.0701840674435592
0.75,0.5533999800682067,1.4817775951491454,-0.5036719281364365
0.8,0.6244999766349792,1.438833326101303,-2.275337577785969
0.8499999999999999,0.698199987411499,1.3370556135972345,-5.234134059261392
0.9,0.7792999744415283,0.8679446578025819,-7.188579716064315
0.95,0.781000018119812,0.4480001992649502,-6.1594156019481625
1.0,0.807200014591217,0.2973887324333188,-5.666236220686524
1.05,0.8223999738693237,-0.0318333837721082,-6.4975921938448735
1.1,0.807200014591217,-0.4064444369739959,-6.511450071393714
1.15,0.7771999835968016,-0.7205000519752508,-5.819937044087752
1.2,0.733399987220764,-0.9877220127317636,-4.920956446432764
1.25,0.6776000261306762,-1.219277679920196,-3.7964527989611185
1.3,0.6089000105857849,-1.3846668766604522,-2.298921066117885
1.35,0.5357999801635742,-1.4658890167872125,-0.4462642940106313
1.4,0.4571999907493591,-1.4313888053099326,1.5195687197976744
1.45,0.38960000872612,-1.308055561449792,3.4217589385347704
1.5,0.324099987745285,-1.1041667395167871,5.420771944853992
1.55,0.2712999880313873,-0.7460554937521614,6.761821511167057
1.6,0.2458000034093856,-0.3299999485413235,6.2164502379335005
1.65,0.24719999730587,-0.070666695634524,4.719999579735747
1.7,0.2461999952793121,0.0602221985658009,4.6483025736646875
1.75,0.2461999952793121,0.3098888695240019,6.058395695355199
1.8,0.2685999870300293,0.7120000902149409,6.6678706372593695
1.85,0.3203000128269195,1.0698889361487502,5.481511616596481
1.9,0.3826999962329864,1.2874443829059612,3.5283329816144184
1.95,0.4523999989032745,1.4098332987891302,1.635062432399497
2.0,0.5264999866485595,1.4481111864248917,-0.1927153747758816
2.05,0.6010000109672546,1.393055684036678,-1.8855873725296617
2.1,0.6700000166893005,1.239610993199877,-2.927686246456922
2.15,0.7275999784469604,1.017499963442484,-1.8665741071288904
2.2,0.7731000185012817,0.9468888574176362,0.0683330367376841
2.25,0.8044999837875366,1.0236665275361807,0.1960190266002971
2.3,0.8195999860763549,1.830944485134547,-13.613301681147677
2.35,1.1644999980926514,-0.3134444024827743,-26.50089555500463
2.4,0.7833999991416931,-2.3712223105960404,-12.57611146127736
2.45,0.7523999810218811,-1.498111188411713,1.4453406779118283
2.5,0.6909999847412109,-1.3698888321717602,1.617965056204506
2.55,0.6309999823570251,-1.3488330774837067,0.1727476256129358
2.6,0.5551000237464904,-1.473277575439876,-0.1445389824148987
2.65,0.4762000143527984,-1.4384445051352177,1.4495655480358256
2.7,0.4072000086307525,-1.3087779449092016,3.1480552605640586
2.75,0.3450999855995178,-1.1351111696826106,5.468458144201177
2.8,0.2906000018119812,-0.8823332438866295,10.550525563734558
