Data Set 1:Time(s),Data Set 1:Position(m),Data Set 1:Velocity(m/s),Data Set 1:Acceleration(m/s²),Data Set 2:Time(s),Data Set 2:Position(m),Data Set 2:Velocity(m/s),Data Set 2:Acceleration(m/s²)
0,0.66170001029968262,-1.521222127808465,0.53118407910252685,0,0.32379999756813049,1.5047779679298401,3.1003429989020019
0.050000000000000003,0.5845000147819519,-1.4946110463804672,0.5859892824549745,0.050000000000000003,0.3986000120639801,1.6403889407714207,3.0119206287242748
0.10000000000000001,0.51130002737045288,-1.4680334031581879,0.86159124694488909,0.10000000000000001,0.47510001063346863,1.7730665802955627,2.448313686030883
0.14999999999999999,0.43860000371932983,-1.4422223634190028,1.8739319914652979,0.14999999999999999,0.55099999904632568,2.2697220742702484,-3.7627396107087896
0.20000000000000001,0.36550000309944153,-1.3478333751360576,4.2152721416435108,0.20000000000000001,0.77859997749328613,1.4695000979635451,-10.942269597708444
0.25,0.29440000653266907,-1.0552222612831328,6.9669632733236142,0.25,0.70340001583099365,0.54544467065069402,-7.3458705842494965
0.29999999999999999,0.24819999933242798,-0.54811115066210425,7.621944852081346,0.29999999999999999,0.76340001821517944,0.74877782000435733,-3.3841995729340453
0.34999999999999998,0.24549999833106995,-0.14988886813322702,5.5870371790211868,0.34999999999999998,0.80720001459121704,0.53566657834582843,-4.5390760181126764
0.40000000000000002,0.24690000712871552,-0.0020000172985924652,3.7428392902200591,0.40000000000000002,0.82510000467300415,0.23916651805241898,-5.4407422097376825
0.45000000000000001,0.24789999425411224,0.091777758465872841,4.3354627710801577,0.45000000000000001,0.82510000467300415,-0.042833586533864342,-6.1017905856356203
0.5,0.24690000712871552,0.35283328758345706,6.43000001616684,0.5,0.82239997386932373,-0.34950024551815456,-6.7764184633154931
0.55000000000000004,0.27309998869895935,0.80405550698439276,7.2519450597924981,0.55000000000000004,0.79579997062683105,-0.74655562639236461,-6.8288251481674358
0.59999999999999998,0.33059999346733093,1.2003889679908755,5.6619445206942416,0.59999999999999998,0.74479997158050537,-1.089777747790019,-5.7046899824966637
0.65000000000000002,0.40270000696182251,1.406444468432003,3.1284245121994112,0.65000000000000002,0.68269997835159302,-1.3415554993682441,-3.941480751022878
0.69999999999999996,0.476500004529953,1.4794998367627461,1.0701840674435592,0.69999999999999996,0.60689997673034668,-1.4940554896990459,-1.8797215764169275
0.75,0.55339998006820679,1.4817775951491454,-0.50367192813643658,0.75,0.52789998054504395,-1.5226109657022679,0.11160517640319906
0.80000000000000004,0.62449997663497925,1.4388333261013031,-2.2753375777859688,0.80000000000000004,0.45239999890327454,-1.4774999022483826,2.042931782794581
