Data Set 1:Time(s),Data Set 1:Position(m),Data Set 1:Velocity(m/s),Data Set 1:Acceleration(m/s²)
0,0.28749999403953552,0.80711123016145503,3.5179858866297167
0.050000000000000003,0.32170000672340393,0.97238889171017551,3.7064093222588661
0.10000000000000001,0.37619999051094055,1.1784332990646362,3.6763884485871703
0.14999999999999999,0.43999999761581421,1.3718333674801722,3.0071843875411113
0.20000000000000001,0.51550000905990601,1.5209443039364283,1.4066537175281562
0.25,0.59789997339248657,1.5412776503298022,-0.92267773953484944
0.29999999999999999,0.6744999885559082,1.4307778080304463,-3.4386396959975953
0.34999999999999998,0.743399977684021,1.2223335107167559,-6.1765107015768699
0.40000000000000002,0.8093000054359436,0.7776114013459946,-7.8656179761445033
0.45000000000000001,0.82450002431869507,0.28277787897321915,-6.6242618877210724
0.5,0.82270002365112305,0.057222015327877469,-4.3301240345578131
0.55000000000000004,0.82309997081756592,-0.040166642930772579,-4.0065723068920196
0.59999999999999998,0.82380002737045288,-0.22188865476184425,-5.9050002951680893
0.65000000000000002,0.81550002098083496,-0.666888886027866,-7.2361754414475996
0.69999999999999996,0.75410002470016479,-1.0732224252488878,-6.1591377044901412
0.75,0.69929999113082886,-1.3143891427252021,-4.148055245111018
0.80000000000000004,0.62099999189376831,-1.4832223455111186,-1.9675599572099338
0.84999999999999998,0.54549998044967651,-1.5151111284891767,0.28367476698792876
0.90000000000000002,0.46579998731613159,-1.4537220862176685,2.4907414651947284
0.94999999999999996,0.39480000734329224,-1.2604999542236328,4.5659254730483676
1,0.33719998598098755,-0.98977774381637518,6.3630550087969953
1.05,0.29030001163482666,-0.60288887884881737,7.5915733053360386
1.1000000000000001,0.2750999927520752,-0.1767223245567747,7.7250000779275574
1.1499999999999999,0.27649998664855957,0.18888892398940205,7.3799389379995874
1.2,0.29440000653266907,0.54544445541169895,7.1116671518043164
1.25,0.32929998636245728,0.91283336281776373,6.4660812233701117
1.3,0.38650000095367432,1.2474445998668664,4.7643524169186096
1.3500000000000001,0.4627000093460083,1.4101112716727797,2.5596286227673759
1.3999999999999999,0.53070002794265747,1.4805555343627941,0.62956654547172464
1.45,0.61239999532699585,1.4838888578944729,-1.5069141432091149
1.5,0.68550002574920654,1.3416110806994961,-3.8089509087580198
1.55,0.75,1.0995554261737395,-5.8754928318070681
1.6000000000000001,0.80239999294281006,0.71716676155726178,-6.9674366602191222
1.6499999999999999,0.82410001754760742,0.30316683981153714,-6.1255865994794938
1.7,0.82270002365112305,0.066833363638983831,-4.6244765505378629
1.75,0.82480001449584961,-0.065666702058580176,-4.7841366426444338
1.8,0.82410001754760742,-0.33577783240212328,-6.3048458945604038
1.8500000000000001,0.79890000820159912,-0.74616670608520563,-6.9337036230681965
1.8999999999999999,0.74720001220703125,-1.1227777931425316,-5.7053397007194597
1.95,0.67930001020431519,-1.3522222638130188,-3.5099698437584732
2,0.60820001363754272,-1.4711668259567692,-1.1747222347759829
2.0499999999999998,0.52789998054504395,-1.4746111631393424,1.2050626546512511
2.1000000000000001,0.45410001277923584,-1.3328888846768263,3.1875624148933945
2.1499999999999999,0.39269998669624329,-1.1288333601421774,4.6344145028679344
2.2000000000000002,0.33959999680519104,-0.86833319730228842,5.9492596505600623
2.25,0.30270001292228699,-0.53511102994283133,7.1276531635243314
2.2999999999999998,0.28240001201629639,-0.12872230675485397,7.6917274590627649
2.3500000000000001,0.28999999165534973,0.27805550230873938,7.3487346095067432
2.3999999999999999,0.31380000710487366,0.619722207387288,6.5975309154133734
2.4500000000000002,0.35269999504089355,0.93361106183793796,5.7398457402064578
2.5,0.4074999988079071,1.2172221971882733,4.3575003191276886
2.5499999999999998,0.47859999537467957,1.402611070209079,2.3235811679451399
2.6000000000000001,0.55379998683929443,1.4518334137068845,0.20435297930681662
