Data Set 1:Time(s),Data Set 1:Position(m),Data Set 1:Velocity(m/s),Data Set 1:Acceleration(m/s²),Data Set 2:Time(s),Data Set 2:Position(m),Data Set 2:Velocity(m/s),Data Set 2:Acceleration(m/s²),Data Set 3:Time(s),Data Set 3:Position(m),Data Set 3:Velocity(m/s),Data Set 3:Acceleration(m/s²)
0,0.28749999403953552,0.80711123016145503,3.5179858866297167,0,0.38890001177787781,1.3173332479265001,1.5910759145095046,0,0.82380002737045288,0.00033332241906060115,0.024962406835438294
0.050000000000000003,0.32170000672340393,0.97238889171017551,3.7064093222588661,0.050000000000000003,0.45170000195503235,1.3965000294976766,1.3220287592690669,0.050000000000000003,0.82380002737045288,0.0014999674426184762,-0.030241363946302446
0.10000000000000001,0.37619999051094055,1.1784332990646362,3.6763884485871703,0.10000000000000001,0.52270001173019409,1.499266763528188,0.40777738723490004,0.10000000000000001,0.82380002737045288,0.0047665834426879883,-0.30613013439708286
0.14999999999999999,0.43999999761581421,1.3718333674801722,3.0071843875411113,0.14999999999999999,0.60790002346038818,1.4909999900394018,-1.4755941752666304,0.14999999999999999,0.82410001754760742,-0.0010000997119479712,-1.2090495983023704
0.20000000000000001,0.51550000905990601,1.5209443039364283,1.4066537175281562,0.20000000000000001,0.67790001630783081,1.3490553531381819,-3.5309694863763852,0.20000000000000001,0.82480001449584961,-0.059000088108910463,-3.2975125367994664
0.25,0.59789997339248657,1.5412776503298022,-0.92267773953484944,0.25,0.74379998445510864,1.1409443616867068,-5.5427391716727508,0.25,0.82620000839233398,-0.29177784919738775,-5.9794080846103626
0.29999999999999999,0.6744999885559082,1.4307778080304463,-3.4386396959975953,0.29999999999999999,0.79960000514984131,0.77983342938952982,-6.9464185999499444,0.29999999999999999,0.80580002069473267,-0.72222246064080142,-7.2561725514170554
0.34999999999999998,0.743399977684021,1.2223335107167559,-6.1765107015768699,0.34999999999999998,0.82620000839233398,0.3495556116104126,-6.3880245534726141,0.34999999999999998,0.75269997119903564,-1.1360557211769948,-6.0910155375798505
0.40000000000000002,0.8093000054359436,0.7776114013459946,-7.8656179761445033,0.40000000000000002,0.82620000839233398,0.069666703542073563,-4.4424073563681699,0.40000000000000002,0.68379998207092285,-1.3839997516738041,-3.6173433433344342
0.45000000000000001,0.82450002431869507,0.28277787897321915,-6.6242618877210724,0.45000000000000001,0.82510000467300415,-0.051888790395524763,-3.2045375233815041,0.45000000000000001,0.60860002040863037,-1.4886108537515004,-1.0975015200214642
0.5,0.82270002365112305,0.057222015327877469,-4.3301240345578131,0.5,0.82380002737045288,-0.17938885423872206,-3.7306806095588363,0.5,0.53070002794265747,-1.4763334227932823,1.0897198852933452
0.55000000000000004,0.82309997081756592,-0.040166642930772579,-4.0065723068920196,0.55000000000000004,0.80650001764297485,-0.36472241083780932,-5.7516056446381567,0.55000000000000004,0.45719999074935913,-1.3676667875713775,2.9776847380914782
0.59999999999999998,0.82380002737045288,-0.22188865476184425,-5.9050002951680893,0.59999999999999998,0.78689998388290405,-0.60400002532535135,-9.7909257919700075,0.59999999999999998,0.39070001244544983,-1.1718889574209852,4.6705253606225243
0.65000000000000002,0.81550002098083496,-0.666888886027866,-7.2361754414475996,0.65000000000000002,0.78860002756118774,-1.5291667150126564,-9.9434885713789214,0.65000000000000002,0.33719998598098755,-0.89938890602853583,6.2141059449425482
0.69999999999999996,0.75410002470016479,-1.0732224252488878,-6.1591377044901412,0.69999999999999996,0.61129999160766602,-2.029889143175549,-2.3447837358639525,0.69999999999999996,0.29620000720024109,-0.53183325462871134,7.2903706795639494
0.75,0.69929999113082886,-1.3143891427252021,-4.148055245111018,0.75,0.53649997711181641,-1.6440556115574301,3.5836128448998461,0.75,0.28270000219345093,-0.12966664301024539,7.52731426446526
0.80000000000000004,0.62099999189376831,-1.4832223455111186,-1.9675599572099338,0.80000000000000004,0.46169999241828918,-1.4066666199101343,4.8794455734299982,0.80000000000000004,0.28580000996589661,0.2345555192894406,7.3487342047838533
0.84999999999999998,0.54549998044967651,-1.5151111284891767,0.28367476698792876,0.84999999999999998,0.39719998836517334,-1.1433332827356129,5.2464818880881792,0.84999999999999998,0.30509999394416809,0.6081666383478378,6.9414816704797166
0.90000000000000002,0.46579998731613159,-1.4537220862176685,2.4907414651947284,0.90000000000000002,0.3481999933719635,-0.9199999107254877,5.9408946353712224,0.90000000000000002,0.34720000624656677,0.95711112022399913,5.9202472828788508
0.94999999999999996,0.39480000734329224,-1.2604999542236328,4.5659254730483676,0.94999999999999996,0.29960000514984131,-0.58233333958519828,7.278085555191395,0.94999999999999996,0.40479999780654907,1.2210000058015187,4.3985807141404054
1,0.33719998598098755,-0.98977774381637518,6.3630550087969953,1,0.28549998998641968,-0.15138894319534293,7.8410799948521559,1,0.47200000286102295,1.4078333973884576,2.5562656606421044
1.05,0.29030001163482666,-0.60288887884881737,7.5915733053360386,1.05,0.28749999403953552,0.23472221361266235,7.6267284927544772,1.05,0.54960000514984131,1.4914445247915051,0.40018430646555941
1.1000000000000001,0.2750999927520752,-0.1767223245567747,7.7250000779275574,1.1000000000000001,0.30689999461174011,0.64222218261824759,6.6658646420196339,1.1000000000000001,0.62690001726150513,1.4456666509310416,-1.781298201761123
1.1499999999999999,0.27649998664855957,0.18888892398940205,7.3799389379995874,1.1499999999999999,0.35749998688697815,0.93044444918632585,5.1170072989699262,1.1499999999999999,0.69690001010894775,1.3097775644726231,-3.9064516163902621
1.2,0.29440000653266907,0.54544445541169895,7.1116671518043164,1.2,0.40439999103546143,1.1272778775956891,3.9425320095486014,1.2,0.76139998435974121,1.0706109139654367,-6.0611406318199528
1.25,0.32929998636245728,0.91283336281776373,6.4660812233701117,1.25,0.46889999508857727,1.3187224335140646,2.7780860478495355,1.25,0.81309998035430908,0.66133333577050069,-7.1332385142644208
1.3,0.38650000095367432,1.2474445998668664,4.7643524169186096,1.3,0.53860002756118774,1.4417222804493368,0.93962790237533633,1.3,0.82859998941421509,0.24205568763944832,-6.0351223673349503
