Data Set 1:Time(s),Data Set 1:Position(m),Data Set 1:Velocity(m/s),Data Set 1:Acceleration(m/s²),Data Set 2:Time(s),Data Set 2:Position(m),Data Set 2:Velocity(m/s),Data Set 2:Acceleration(m/s²),Data Set 3:Time(s),Data Set 3:Position(m),Data Set 3:Velocity(m/s),Data Set 3:Acceleration(m/s²)
0,0.53030002117156982,-1.1520003610187106,3.6148922844433478,0,0.7720000147819519,-0.56655579143100321,-3.3284369920506887,0,0.50029999017715454,-1.1553331547313266,3.5110176860550291
0.050000000000000003,0.46889999508857727,-1.0101668453878827,4.3872436181998546,0.050000000000000003,0.74860000610351562,-0.71319467491573763,-3.7029483463661172,0.050000000000000003,0.43479999899864197,-0.97658317950036799,3.5807396379517917
0.10000000000000001,0.41269999742507935,-0.72320001324017846,4.9139277554220628,0.10000000000000001,0.71139997243881226,-0.93346667289733887,-3.8324696708608563,0.10000000000000001,0.3986000120639801,-0.80933326482772827,3.9393043738824347
0.14999999999999999,0.39890000224113464,-0.46149998903274536,4.5466488461803509,0.14999999999999999,0.65450000762939453,-1.1416664885150063,-3.1016014350785155,0.14999999999999999,0.35510000586509705,-0.6421666840712229,5.2356013876420482
0.20000000000000001,0.37409999966621399,-0.3014444311459859,4.6883582618133524,0.20000000000000001,0.59310001134872437,-1.274999992714988,-1.5692080189416442,0.20000000000000001,0.32580000162124634,-0.30288885037104291,6.7701697000014924
0.25,0.36100000143051147,-0.02249997523095873,5.2451728781064366,0.25,0.52480000257492065,-1.3306111925178106,0.71917849742336148,0.25,0.32030001282691956,0.11438892947302925,6.8265116913819028
0.29999999999999999,0.37070000171661377,0.27316671278741628,4.9631476586247665,0.29999999999999999,0.45309999585151672,-1.2233889434072707,3.3554943807331159,0.29999999999999999,0.34310001134872437,0.4378332859939999,5.7224374586417346
0.34999999999999998,0.39340001344680786,0.48877772357728738,4.343394603994156,0.34999999999999998,0.39579999446868896,-0.96749996145566286,5.334691942473988,0.34999999999999998,0.36930000782012939,0.659222106138865,4.8930558525485752
0.40000000000000002,0.41929998993873596,0.69577773412068666,3.7761731556168301,0.40000000000000002,0.35240000486373901,-0.62594440248277439,5.9926541959062005,0.40000000000000002,0.40619999170303345,0.90772218174404562,4.307285585889109
0.45000000000000001,0.46340000629425049,0.87900001141760076,2.9046301580505625,0.45000000000000001,0.33550000190734863,-0.31694445345136857,5.6284564880677204,0.45000000000000001,0.460999995470047,1.1228890551461115,3.0993526548515131
0.5,0.50929999351501465,1.0086667040983837,1.5663890926926249,0.5,0.32580000162124634,-0.09055558178159924,5.6626853107670208,0.5,0.52240002155303955,1.2501112454467347,1.2168810691362564
0.55000000000000004,0.56760001182556152,1.0561111403836148,-0.19018545194908301,0.55000000000000004,0.32269999384880066,0.2026667031976912,6.4283025761445387,0.55000000000000004,0.5910000205039978,1.257666564650006,-0.98960101604461326
0.59999999999999998,0.62029999494552612,0.98350001706017409,-1.8444760989995661,0.59999999999999998,0.34130001068115234,0.57883335484398757,6.6037341308446598,0.59999999999999998,0.6534000039100647,1.1398331158690986,-2.9938585596320078
0.65000000000000002,0.66820001602172852,0.85111108091142462,-3.1432421854984636,0.65000000000000002,0.38130000233650208,0.93449991610315131,5.3144445665824556,0.65000000000000002,0.70789998769760132,0.94027764267391645,-4.5923755216745716
0.69999999999999996,0.70690000057220459,0.66361089547475183,-4.2999079473960578,0.69999999999999996,0.44029998779296875,1.1661666962835524,2.8424697341742302,0.69999999999999996,0.75029999017715454,0.66677775647905146,-5.7974373300870283
0.75,0.73549997806549072,0.43911099433898904,-5.6111101934939249,0.75,0.5065000057220459,1.2131112317244206,0.3915728794203866,0.75,0.77689999341964722,0.34044441249635465,-6.5063575995557086
0.80000000000000004,0.75819998979568481,0.080833302603827581,-6.4030547384862535,0.80000000000000004,0.56550002098083496,1.1581109795305464,-1.187841631012194,0.80000000000000004,0.78509998321533203,-0.0070000025961134199,-6.6981788218757252
0.84999999999999998,0.74269998073577881,-0.26772224240832865,-5.9262959585513606,0.84999999999999998,0.62239998579025269,1.0737775100602047,-2.289259249781384,0.84999999999999998,0.7750999927520752,-0.3387222025129531,-6.6036423599278491
0.90000000000000002,0.72549998760223389,-0.51500002543131518,-5.2026849745968233,0.90000000000000002,0.67479997873306274,0.93833320670657694,-3.4529299279789885,0.90000000000000002,0.75139999389648438,-0.67061119609408915,-6.289753143066239
0.94999999999999996,0.6930999755859375,-0.77705555491977263,-4.4767589756736017,0.94999999999999996,0.71929997205734253,0.73388894399007165,-4.6807074344452539,0.94999999999999996,0.70819997787475586,-0.99177784389919699,-5.3628071498723635
1,0.64649999141693115,-0.99272222982512526,-3.139999407677001,1,0.75099998712539673,0.46116686529583378,-5.7078076365553292,1,0.64999997615814209,-1.2506109807226384,-3.4840414553512744
1.05,0.5899999737739563,-1.1210555500454369,-1.2069119991343769,1.05,0.76690000295639038,0.14766679869757751,-6.3467596232155215,1.05,0.57719999551773071,-1.3727775381671055,-0.8829631831175111
1.1000000000000001,0.52859997749328613,-1.1178330911530396,0.86478484265597766,1.1000000000000001,0.76719999313354492,-0.19433319568634047,-6.2588592186386265,1.1000000000000001,0.50620001554489136,-1.3378888037469661,1.7348129808166828
1.1499999999999999,0.47440001368522644,-1.0152220229307818,2.5568195147278945,1.1499999999999999,0.74690002202987671,-0.52627772092819258,-4.6854036457744641,1.1499999999999999,0.43860000371932983,-1.179166750775444,3.866357025172984
